Identifier,Directory,FILENAMES,title,creator,publisher,date,language,type,format,rights,contributor,source,collection,tags
a2396238,a2396238,wachs.a2396238.01.jpg | wachs.a2396238.02.jpg,"Le bonhomme, ou, Nouvelles observations sur les mÅurs parisiennes au commencement du dix-neuviÃme siÃ©cle","Rougemont,M. de(Michel-Nicolas Balisson), 1781-1840",Pillet,1818,French,Books,"382 pages, [2] leaves of plates : illustrations","Public Domain",,"Morris Wachs Collection, W.T. Bandy Center, DC715 .R639 1818","W.T. Bandy Center","French 8040 | 2016 Exhibits"
a2334164,a2334164,wachs.a2334164.01.jpg | wachs.a2334164.02.jpg,"Le jardinier solitaire, ou, Dialogues entre un curieux & un jardinier solitaire","Gentil, FranÃ§ois",Du Fonds de Rigaud,1773,French,Books,"xx, 312 pages, 4 unnumbered pages, 1 unnumbered folded leaf of plates : illustrations",Public Domain,,"Morris Wachs Collection, W.T. Bandy Center, SB453 .G46 1773",W.T. Bandy Center,French 8040 | 2016 Exhibits
a2332162,a2332162,wachs.a2332162.01.jpg | wachs.a2332162.02.jpg | wachs.a2332162.03.jpg,Paris en miniature,"Luchet, Jean-Pierre-Louis de, 1740-1792",[Publisher not identified],1784,French,Books,130 pages,Public Domain,,"Morris Wachs Collection, W.T. Bandy Center, DC707 .L83 1734",W.T. Bandy Center,French 8040 | 2016 Exhibits
